user_id,recharge_frequency,utility_regularity,ecommerce_frequency,ecommerce_avg_amount,avg_balance,credit_score,risk_bucket
U1000,7,87.8,14,3686.77,30133.59,852,Excellent
U1001,11,67.6,3,800.05,32718.98,797,Excellent
U1002,5,98.2,11,4698.91,538.55,626,Poor
U1003,10,42.8,15,1240.58,4985.02,648,Poor
U1004,14,52.0,19,3002.83,2799.3,713,Good
U1005,7,40.8,13,4061.15,15578.38,684,Fair
U1006,5,53.9,14,3447.99,30694.83,768,Excellent
U1007,1,55.5,7,3801.27,21545.22,621,Poor
U1008,6,72.8,17,3898.15,47005.2,900,Excellent
U1009,8,74.2,7,4238.22,37492.35,867,Excellent
U1010,5,75.2,12,790.53,40208.75,843,Excellent
U1011,8,40.8,18,3563.6,36585.85,888,Excellent
U1012,1,76.4,9,1856.48,6235.52,568,Poor
U1013,2,45.7,4,3675.07,32059.09,682,Fair
U1014,11,73.7,2,686.01,35805.62,838,Excellent
U1015,14,69.6,8,3582.25,5989.1,754,Excellent
U1016,12,46.5,6,2429.31,28382.14,754,Excellent
U1017,7,64.6,10,1095.0,47171.25,900,Excellent
U1018,7,57.4,1,3159.33,15133.87,596,Poor
U1019,12,51.2,10,1689.29,6543.35,642,Poor
U1020,9,59.1,0,1433.45,32560.66,712,Good
U1021,11,65.0,4,3492.94,13835.91,665,Fair
U1022,8,96.6,8,2078.8,3712.17,634,Poor
U1023,7,69.8,16,825.63,49888.15,900,Excellent
U1024,11,76.6,1,2114.08,2136.01,633,Poor
U1025,14,48.7,11,2294.14,27868.21,802,Excellent
U1026,7,80.3,10,1911.31,12486.92,690,Fair
U1027,2,78.0,10,4100.52,40018.08,853,Excellent
U1028,9,59.2,5,3509.48,42988.76,817,Excellent
U1029,10,70.7,18,1808.46,5260.74,714,Good
U1030,9,81.5,6,4689.98,7307.29,631,Poor
U1031,7,72.5,9,1363.91,33169.21,803,Excellent
U1032,10,98.9,19,2695.29,12471.69,847,Excellent
U1033,9,56.7,18,3657.18,44906.96,900,Excellent
U1034,8,64.3,0,3245.96,4664.93,554,Poor
U1035,13,57.0,13,2788.8,34748.81,887,Excellent
U1036,13,53.5,0,188.57,24947.74,715,Good
U1037,8,91.0,16,1609.5,27355.74,842,Excellent
U1038,11,62.1,13,2990.37,48955.2,900,Excellent
U1039,11,87.7,0,2926.83,24879.63,759,Excellent
U1040,5,53.8,15,1475.78,1703.64,560,Poor
U1041,12,68.2,13,4582.84,18822.86,821,Excellent
U1042,9,97.2,16,2808.55,28828.48,880,Excellent
U1043,1,59.0,17,2828.33,46839.66,851,Excellent
U1044,10,95.8,13,576.16,30942.86,900,Excellent
U1045,1,90.9,8,3542.17,18294.81,658,Fair
U1046,13,57.8,2,1355.41,30769.93,757,Excellent
U1047,8,82.1,15,348.77,44387.55,900,Excellent
U1048,12,74.7,18,2381.43,27360.91,900,Excellent
U1049,6,55.0,9,4130.74,18329.44,621,Poor
U1050,12,59.6,7,3872.97,11183.14,669,Fair
U1051,13,51.7,14,3527.61,7348.48,729,Good
U1052,13,98.2,9,1682.49,39861.72,900,Excellent
U1053,7,55.1,8,3473.65,3380.58,524,Poor
U1054,10,49.4,1,1274.96,5146.73,566,Poor
U1055,5,76.7,2,1313.88,18120.65,701,Good
U1056,5,47.2,13,549.82,5160.77,608,Poor
U1057,4,50.4,4,2052.67,30984.58,698,Fair
U1058,5,93.2,19,1935.6,31480.07,900,Excellent
U1059,5,81.0,15,445.79,32299.75,844,Excellent
U1060,1,92.0,19,2919.82,19714.41,740,Good
U1061,3,89.2,11,1991.9,48078.93,900,Excellent
U1062,10,52.4,12,1151.49,19174.32,751,Excellent
U1063,7,44.3,7,1988.44,34239.88,743,Good
U1064,14,88.9,8,2530.58,34798.07,900,Excellent
U1065,8,84.1,3,969.45,37655.43,820,Excellent
U1066,3,99.4,15,725.68,12875.81,749,Good
U1067,5,54.3,12,3725.55,12292.69,646,Poor
U1068,14,94.2,19,4149.64,16342.46,900,Excellent
U1069,12,97.5,18,547.3,16306.03,900,Excellent
U1070,14,80.6,19,2909.85,31775.94,900,Excellent
U1071,9,73.2,3,4736.35,39174.15,817,Excellent
U1072,7,45.5,9,4873.82,49798.6,900,Excellent
U1073,12,81.3,11,4347.66,42004.8,900,Excellent
U1074,14,82.1,9,2043.59,44648.9,900,Excellent
U1075,6,99.2,15,4329.38,44077.82,900,Excellent
U1076,1,96.8,12,3791.55,19124.85,643,Poor
U1077,10,59.8,2,1343.04,20557.5,735,Good
U1078,14,43.4,7,675.88,32635.91,851,Excellent
U1079,14,64.0,16,506.17,26654.32,900,Excellent
U1080,5,97.8,11,4891.71,28022.25,803,Excellent
U1081,5,99.6,4,1339.65,34922.85,799,Excellent
U1082,9,71.4,8,1162.36,15077.45,749,Good
U1083,11,56.9,15,4462.29,23055.01,799,Excellent
U1084,12,60.1,3,2372.12,17990.94,682,Fair
U1085,9,55.6,16,1470.84,20854.73,789,Excellent
U1086,13,81.1,12,4563.54,41215.59,900,Excellent
U1087,8,92.6,12,907.69,20857.13,856,Excellent
U1088,6,88.6,14,837.04,29909.47,856,Excellent
U1089,11,74.1,0,2396.6,21033.57,709,Good
U1090,1,40.8,5,3489.4,26950.14,615,Poor
U1091,7,86.1,4,3809.7,19203.6,706,Good
U1092,5,67.0,13,1332.07,14099.22,691,Fair
U1093,8,77.1,7,208.71,25159.18,755,Excellent
U1094,6,86.3,17,4275.69,27819.39,883,Excellent
U1095,9,75.4,14,2160.63,39341.08,900,Excellent
U1096,14,82.2,18,4525.44,31054.55,900,Excellent
U1097,2,63.5,18,4530.38,17738.65,709,Good
U1098,6,67.1,14,2043.06,31293.29,768,Excellent
U1099,8,42.8,5,2513.83,16773.2,630,Poor
U1100,11,74.8,10,471.73,6879.55,711,Good
U1101,8,81.8,2,4384.16,26004.18,707,Good
U1102,2,76.1,18,300.26,8862.29,639,Poor
U1103,5,72.9,4,2357.82,10713.52,577,Poor
U1104,2,47.7,12,1675.76,5068.38,599,Poor
U1105,8,92.4,15,399.28,14205.44,775,Excellent
U1106,1,45.1,2,1004.15,10862.79,471,Poor
U1107,10,85.6,13,2366.42,37499.81,867,Excellent
U1108,14,48.9,18,3595.41,44812.74,900,Excellent
U1109,13,92.0,5,2709.82,12502.29,785,Excellent
U1110,9,84.2,9,2863.43,42115.14,900,Excellent
U1111,9,93.4,19,2422.45,18077.66,828,Excellent
U1112,9,69.9,14,2962.58,36972.71,900,Excellent
